zip,county,latitude,longitude,est_population
80820,Park County,38.75,-105.53,590
80821,Lincoln County,39.13,-103.46,850
80822,Yuma County,39.65,-102.68,210
80823,Lincoln County,38.73,-103.53,179
80824,Yuma County,39.62,-102.6,225
80825,Cheyenne County,38.76,-102.79,380
80826,Lincoln County,39.26,-103.68,0
80827,Park County,38.98,-105.37,620
80828,Lincoln County,39.26,-103.68,2240
80829,El Paso County,38.85,-104.91,4610
80830,Elbert County,39.11,-103.89,190
80831,El Paso County,39.03,-104.48,25940
80832,El Paso County,39.12,-104.16,600
80833,El Paso County,38.84,-104.08,560
80834,Kit Carson County,39.29,-102.86,220
80835,Elbert County,39.14,-104.08,830
80836,Kit Carson County,39.3,-102.6,1050
80840,El Paso County,38.99,-104.85,2400
80841,El Paso County,38.99,-104.85,2019
80860,Teller County,38.7,-105.14,465
80861,Kit Carson County,39.3,-102.74,200
80862,Cheyenne County,38.87,-103.06,39
80863,Teller County,38.99,-105.05,10330
80864,El Paso County,38.84,-104.22,1090
80866,Teller County,38.99,-105.05,2417
80901,El Paso County,38.86,-104.76,1000
80902,El Paso County,38.67,-104.81,11480
80903,El Paso County,38.83,-104.81,10540
80904,El Paso County,38.86,-104.88,17130
80905,El Paso County,38.82,-104.84,14450
80906,El Paso County,38.75,-104.88,33850
80907,El Paso County,38.88,-104.83,23550
80908,El Paso County,39.05,-104.69,16450
80909,El Paso County,38.86,-104.76,30210
80910,El Paso County,38.81,-104.77,25220
80911,El Paso County,38.75,-104.72,31880
80912,El Paso County,38.86,-104.76,0
80913,El Paso County,38.69,-104.75,9119
80914,El Paso County,38.82,-104.7,340
80915,El Paso County,38.85,-104.72,20280
80916,El Paso County,38.81,-104.71,37170
80917,El Paso County,38.89,-104.75,26790
80918,El Paso County,38.91,-104.78,42390
80919,El Paso County,38.93,-104.85,27350
80920,El Paso County,38.96,-104.77,37660
80921,El Paso County,39.02,-104.91,21210
80922,El Paso County,38.89,-104.7,27270
80923,El Paso County,38.93,-104.71,28300
