LNG,LAT,ROUTES,STOPNAME,DIR,DISTANCE_FROM_STREET,CITY,POSTAL,CORNER,ON_STREET,AT_STREET,STOPNAME_BSID,,County
-105.015001,39.678596,21,W Evans Ave & S Zuni St,E,105,Englewood,80110,SE,W Evans Av,S Zuni St,W Evans Ave & S Zuni St (Stop No. 13645),,Englewood County
-105.119503,39.72889,100,Parfet St & W 8th Ave,S,90,Lakewood,80215,SW,Parfet St,W 8th Av,Parfet St & W 8th Ave (Stop No. 15766),,Lakewood County
-104.88093,39.601946,153,S Boston St & Caley Ave {1409},S,75,Greenwood Village,80111,SW,S Boston St,E Caley Av,S Boston St & Caley Ave {1409} (Stop No. 22037),,Greenwood Village County
-104.978237,39.785969,12,Washington St & 49th Ave,N,150,Denver,80216,NE,Washington St,E 49th Av,Washington St & 49th Ave (Stop No. 22041),,Denver County
-105.1071187,40.15358785,323,S Pratt Pkwy & Elgin Ave {1103},S,30,Longmont,80501,SW,Ken Pratt Blvd,Elgin Av,S Pratt Pkwy & Elgin Ave {1103} (Stop No. 22438),,Longmont County
-104.7995404,39.7836102,45,16200 Block Green Valley Ranch Blvd,E,150,Denver,80239,SW,Green Valley Ranch Blvd,Memphis St,16200 Block Green Valley Ranch Blvd (Stop No. 24828),,Denver County
-104.9920831,39.71646807,"1, 52",S Cherokee St & W Ellsworth Ave,N,35,Denver,80223,SE,S Cherokee St,W Ellsworth Av,S Cherokee St & W Ellsworth Ave (Stop No. 23213),,Denver County
-104.994326,39.739964,"16, 16L",W Colfax Ave & Elati St,E,50,Denver,80204,SW,W Colfax Av,Elati St,W Colfax Ave & Elati St (Stop No. 23216),,Denver County
-104.99622,39.769224,38,W 38th Ave & Fox St,SE,75,Denver,80216,SW,W 38th Av,Fox St,W 38th Ave & Fox St (Stop No. 23218),,Denver County
-105.2288968,39.99226525,206,Manhattan Dr & Kewanee Dr,N,160,Boulder,80303,NE,Manhattan Dr,Kewanee Dr,Manhattan Dr & Kewanee Dr (Stop No. 15186),,Boulder County
-105.012869,39.827212,72,W 72nd Ave & Ruth Way,E,130,Twin Lakes,80221,SE,W 72nd Av,Ruth Wy,W 72nd Ave & Ruth Way (Stop No. 11691),,Twin Lakes County
-105.273086,40.036483,208,Iris Ave & 19th St,W,50,Boulder,80304,NW,Iris Av,19th St,Iris Ave & 19th St (Stop No. 14600),,Boulder County
-104.98823,39.608539,"0L, 66, 0",S Broadway & W Broadmoor Dr,S,305,Littleton,80120,SW,S Broadway,W Broadmoor Dr,S Broadway & W Broadmoor Dr (Stop No. 12486),,Littleton County
