LNG,LAT,ROUTES,STOPNAME,DIR,AMENITIES,DISTANCE_FROM_STREET,DISTRICT,CITY,POSTAL,COUNTY,TEAMBOUNDARY,CORNER,ON_STREET,AT_STREET,STOPNAME_BSID
-104.971945,39.769482,44,Marion St & Walnut St,NE,B,250,B,Denver,80205,Denver,East,S,Marion St,Walnut St,Marion St & Walnut St (Stop No. 15212)
-105.057508,39.689465,14,W Florida Ave & S Depew St,E,,95,D,Lakewood,80232,Jefferson,West,SE,W Florida Av,S Depew St,W Florida Ave & S Depew St (Stop No. 13878)
-105.093541,39.801974,52,W 58th Ave & Dover St,E,B,20,L,Arvada,80002,Jefferson,West,SW,Ralston Rd,Dover St,W 58th Ave & Dover St (Stop No. 18691)
-105.0820205,39.74044675,"16, 16L",W Colfax Ave & Wadsworth Blvd Farside,W,,80,M,Lakewood,80214,Jefferson,West,NW,W Colfax Av,Wadsworth Blvd,W Colfax Ave & Wadsworth Blvd Farside (Stop No. 13004)
-105.112174,40.170407,326,Longs Peak Ave & Bowen St {1103},W,,80,I,Longmont,80501,Boulder,North,NW,Longs Peak Ave,Bowen St,Longs Peak Ave & Bowen St {1103} (Stop No. 15032)
-105.197817,40.072716,205,Lookout Rd & Gunpark Dr,E,,125,O,Boulder,80301,Boulder,North,SE,Lookout Rd,Gunpark Dr E,Lookout Rd & Gunpark Dr (Stop No. 15045)
-104.9777438,39.85392706,"12, 80",Washington St & Sheldon Dr {1203},N,B,60,K,Thornton,80229,Adams,North,NE,Washington St,Sheldon Dr,Washington St & Sheldon Dr {1203} (Stop No. 17203)
-105.000249,39.730239,"1, 9",Kalamath St & W 9th Ave,S,B,90,C,Denver,80204,Denver,West,SW,Kalamath St,W 9th Av,Kalamath St & W 9th Ave (Stop No. 14722)
-104.959306,39.681049,24,S University Blvd & Buchtel Blvd,N,B,1503,A,Denver,80210,Denver,East,SE,S University Blvd,Buchtel Blvd,S University Blvd & Buchtel Blvd (Stop No. 16853)
-105.150878,39.97789,"DASH, 228",Via Appia & Tyler Ave {1102},SW,,90,O,Louisville,80027,Boulder,North,NW,Via Appia,Tyler Av,Via Appia & Tyler Ave {1102} (Stop No. 21641)
-105.2485447,40.01655558,FF,Boulder Garage,N,,75,O,Boulder,80301,Boulder,North,,Arnold Dr,33rd St,Boulder Garage (Stop No. 99861)
-104.791289,39.65604,"169, 169L",S Buckley Rd & Floyd Ave,S,,150,F,Aurora,80013,Arapahoe,East,SW,S Buckley Rd,E Floyd Ave,S Buckley Rd & Floyd Ave (Stop No. 23920)
-104.9820236,39.88244781,12,Grant St & 102nd Ave {1203},N,13,250,K,Thornton,80229,Adams,North,NE,Grant St,102nd Av,Grant St & 102nd Ave {1203} (Stop No. 21549)
-105.250629,40.014762,"J, JUMP",Arapahoe Ave & 33rd St,W,,90,O,Boulder,80301,Boulder,North,NW,Arapahoe Ave,33rd St,Arapahoe Ave & 33rd St (Stop No. 12217)
-105.004511,39.769356,38,W 38th Ave & Navajo St,W,"P, 35, B, TT, SDB",100,C,Denver,80211,Denver,West,NW,W 38th Av,Navajo St,W 38th Ave & Navajo St (Stop No. 11020)
-104.8235827,39.67497122,21,Iliff Ave & S Blackhawk St,W,B,75,F,Aurora,80014,Arapahoe,East,NE,E Iliff Av,S Blackhawk St,Iliff Ave & S Blackhawk St (Stop No. 14519)
-104.9895709,39.75111634,"48, 8",Curtis St & 20th St,E,,100,A,Denver,80205,Denver,West,NE,Curtis St,19th St,Curtis St & 20th St (Stop No. 22701)
-104.990546,39.837662,8,Conifer Rd & Dakin St,SE,,150,J,Sherrelwood,80221,Adams,North,SW,Conifer Rd,Dakin St,Conifer Rd & Dakin St (Stop No. 13160)
-104.991879,39.843512,8,Conifer Rd & Leona Dr {1110},SW,,75,J,Sherrelwood,80221,Adams,North,NE,Conifer Rd,Leona Dr,Conifer Rd & Leona Dr {1110} (Stop No. 13163)
-104.99927,39.704401,11,S Jason St & W Exposition Ave,S,,100,D,Denver,80223,Denver,West,NW,S Jason St,W Exposition Av,S Jason St & W Exposition Ave (Stop No. 24394)
-105.1098565,39.60000719,99L,S Kipling St & W Walker Ave {1303},N,B,45,N,Ken Caryl,80123,Jefferson,West,SE,S Kipling St,W Walker Av,S Kipling St & W Walker Ave {1303} (Stop No. 14894)
-105.032096,39.733285,1,Knox Ct & W 10th Ave,N,B,110,C,Denver,80204,Denver,West,NE,Knox Ct,W 10th Av,Knox Ct & W 10th Ave (Stop No. 14904)
-105.0322122,39.73310184,1,Knox Ct & W 10th Ave,S,T,20,C,Denver,80204,Denver,West,SW,Knox Ct,W 10th Av,Knox Ct & W 10th Ave (Stop No. 14905)
-104.9779,39.804566,12,6000 Block Washington St,N,B,1056,K,North Washington,80216,Adams,West, ,Washington St,E 58th Av,6000 Block Washington St (Stop No. 17183)
-104.977951,39.813134,12,Washington St & 64th Ave,N,B,130,K,North Washington,80229,Adams,North,NE,Washington St,E 64th Av,Washington St & 64th Ave (Stop No. 17187)
-105.183256,40.072811,205,Lookout Rd & Mt Evans Pl,W,"14, 3, T, SDB",50,O,Boulder,80503,Boulder,North,NW,Lookout Rd,Mt Evans Pl,Lookout Rd & Mt Evans Pl (Stop No. 15049)
-105.182537,40.072687,205,Lookout Rd & Club House Dr,E,,75,O,Boulder,80301,Boulder,North,SE,Lookout Rd,Club House Dr,Lookout Rd & Club House Dr (Stop No. 15050)
-105.054916,39.652006,35,W Hampden Ave & S Sheridan Blvd,NW,B,300,D,Denver,80227,Denver,West,NW,W Hampden Av Sr S,S Sheridan Blvd,W Hampden Ave & S Sheridan Blvd (Stop No. 19216)
-105.076588,39.652325,35,S Teller St & W Hampden Ave,S,B,98,N,Lakewood,80227,Jefferson,West,SW,S Teller St,W Hampden Av S,S Teller St & W Hampden Ave (Stop No. 19222)
-105.0766508,39.64960229,35,S Teller St & W Jefferson Ave,S,,65,N,Lakewood,80235,Jefferson,West,SW,S Teller St,W Jefferson Av,S Teller St & W Jefferson Ave (Stop No. 19223)
-105.096163,39.740126,16,W Colfax Ave & Estes St,E,B,65,M,Lakewood,80215,Jefferson,West,SW,W Colfax Av,Estes St,W Colfax Ave & Estes St (Stop No. 12877)
-104.9131772,39.70320415,83,Leetsdale Dr & S Monaco Pkwy,NW,,90,A,Denver,80224,Denver,East,N,Leetsdale Dr,S Monaco St,Leetsdale Dr & S Monaco Pkwy (Stop No. 19920)
-104.940151,39.917289,39L,Colorado Blvd & 121st Ave {1203},N,13,150,K,Thornton,80241,Adams,North,NE,Colorado Blvd,E 121st Ave,Colorado Blvd & 121st Ave {1203} (Stop No. 19927)
-104.94041,39.916584,39L,Colorado Blvd & 121st Ave {1203},S,13,75,K,Thornton,80241,Adams,North,SW,Colorado Blvd,E 121st Ave,Colorado Blvd & 121st Ave {1203} (Stop No. 19928)
-105.10269,40.00437108,LD,US 287 & Diamond Cir,N,,90,I,Lafayette,80026,Boulder,North,SE,N 107th St,Diamond Cir,US 287 & Diamond Cir (Stop No. 19961)
-105.025244,39.664595,"36L, 29, 36, 35",S Federal Blvd & W Amherst Ave,S,,150,D,Denver,80236,Denver,West,SW,S Federal Blvd,W Amherst Av,S Federal Blvd & W Amherst Ave (Stop No. 13784)
-105.025317,39.624644,29,S Federal Blvd & W Belleview Ave,N,B,75,D,Englewood,80110,Arapahoe,West,NE,S Federal Blvd,W Belleview Av,S Federal Blvd & W Belleview Ave (Stop No. 13789)
-105.025645,39.623469,29,S Federal Blvd & W Belleview Ave,S,,125,H,Littleton,80123,Arapahoe,West,SW,S Federal Blvd,W Belleview Av,S Federal Blvd & W Belleview Ave (Stop No. 13790)
-105.067246,39.81316,72,Lamar St & W 64th Ave,N,,120,L,Arvada,80003,Jefferson,North,NE,Lamar St,W 64th Av,Lamar St & W 64th Ave (Stop No. 14920)
-105.067278,39.824016,72,Lamar St & W 70th Ave,N,,125,L,Arvada,80003,Jefferson,North,NE,Lamar St,W 70th Av,Lamar St & W 70th Ave (Stop No. 14925)
-105.027091,39.621979,29,S Federal Blvd & W Progress Ave,SW,,75,H,Littleton,80123,Arapahoe,West,W,S Federal Blvd,S Progress Av,S Federal Blvd & W Progress Ave (Stop No. 13849)
-105.025544,39.631212,29,S Federal Blvd & W Union Ave,S,B,75,D,Denver,80110,Denver,West,SW,S Federal Blvd,W Union Av,S Federal Blvd & W Union Ave (Stop No. 13852)
-105.0690118,39.89974649,112,W 112th Ave & Newland St {1104},E,,90,J,Westminster,80020,Jefferson,North,SE,W 112th Av,Newland St,W 112th Ave & Newland St {1104} (Stop No. 19563)
-104.7768909,39.88574469,104L,104th Ave & Walden St,W,,65,K,Commerce City,80022,Adams,North,SE,E 104th Ave,Walden St,104th Ave & Walden St (Stop No. 33803)
-105.0531031,39.80986064,51,Sheridan Blvd & W 62nd Ave,N,B,225,C,Arvada,80003,Adams,North,NE,Sheridan Blvd,W 62nd Av,Sheridan Blvd & W 62nd Ave (Stop No. 16493)
-105.138516,39.74013,"16, GS, 16L",W Colfax Ave & Welch St,W,B,800,M,Lakewood,80215,Jefferson,West,NW,W Colfax Av,Welch St,W Colfax Ave & Welch St (Stop No. 13012)
-104.964518,39.524148,403,Wildcat Reserve Pkwy & Summit View Pkwy,E,,75,H,Highlands Ranch,80125,Douglas,West,SE,Wildcat Reserve Pkwy,Summit View Pkwy,Wildcat Reserve Pkwy & Summit View Pkwy (Stop No. 25569)
-105.131002,40.17666,"J, LX, BOLT, LD",Hover St & Purdue Ct {1103},S,,50,I,Longmont,80503,Boulder,North,SW,N Hover St,Purdue Ct,Hover St & Purdue Ct {1103} (Stop No. 21113)
-105.130798,40.177864,"J, LX, BOLT, LD",Hover St & 11th Ave {1103},N,,20,I,Longmont,80501,Boulder,North,NE,N Hover St,11th Av,Hover St & 11th Ave {1103} (Stop No. 21116)
-104.999107,39.704664,11,S Jason St & W Exposition Ave,N,,75,C,Denver,80223,Denver,West, ,S Jason St,W Ohio Av,S Jason St & W Exposition Ave (Stop No. 24404)
-104.908029,39.751055,20,23rd Ave & Oneida St,W,P,20,B,Denver,80207,Denver,East,NE,E 23rd Ave,Oneida St,23rd Ave & Oneida St (Stop No. 10602)
